Animal ID,Name,Species,Primary Breed,Secondary Breed,Primary Color,Secondary Color,Age Group At Outcome,Previous Intake Type,Source Shelter,Outcome Subtype,Episode Index,Previous Intake Date,Outcome Date,LOS (days),Adoption Channel (derived)
LDDC-A-3644,Pine,Dog,Shepherd,Mix,Brown,—,Adult Dog,Transfer In,"65777, FLRN-FD-24-0850, FLRN-A-6402",PetSmart Adoption Event,1,2024-04-20,2024-05-12,22,Weekend Event
LDDC-A-3816,Teddy,Dog,Terrier,—,Tan,—,Adult Dog,Transfer In,PVAS-A-186015,PetSmart Adoption Event,1,2024-05-11,2024-05-12,1,Weekend Event
LDDC-A-3700,George,Cat,Domestic Shorthair,—,Black,Grey,Kitten,Transfer In,"66484, FLRN-A-6920, FLRN-MC-24-0947",PetSmart Adoption Event,1,2024-04-27,2024-05-12,15,Weekend Event
LDDC-A-3788,Licorice,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,PVAS-A-186324,PetSmart Adoption Event,1,2024-05-11,2024-05-12,1,Weekend Event
LDDC-A-3746,Freedom,Dog,Pointer,Shepherd,White,Black,Adult Dog,Transfer In,"66152, FLRN-FD-24-0996, FLRN-A-6830",PetSmart Adoption Event,1,2024-05-03,2024-05-12,9,Weekend Event
LDDC-A-3754,Fern,Cat,Domestic Longhair,—,Grey,—,Kitten,Transfer In,"66407, FLRN-MC-24-0978, FLRN-A-6874",PetSmart Adoption Event,1,2024-05-03,2024-05-12,9,Weekend Event
LDDC-A-3773,Sunny,Dog,"Retriever, Labrador",Mix,Silver,White,Puppy,Transfer In,"65940, FLRN-FD-24-0973, FLRN-A-6612",PetSmart Adoption Event,1,2024-05-03,2024-05-12,9,Weekend Event
LDDC-A-3774,Stacy,Dog,"Retriever, Labrador",Mix,Chocolate,White,Puppy,Transfer In,"65940, FLRN-FD-24-0971, FLRN-A-6609",Foster Adopted,1,2024-05-03,2024-05-13,10,From Foster
LDDC-A-3515,Courage,Dog,Shepherd,Mix,Black,Tan,Adult Dog,Transfer In,"65377, FLRN-FD-24-0793, FLRN-A-6187",Foster Adopted,1,2024-04-06,2024-05-14,38,From Foster
LDDC-A-3362,Danny Boy,Cat,Domestic Shorthair,—,Orange,—,Adult Cat,Transfer In,"PPCA-A-9225, FRKN-MC-24-0604",Meo Maison Cat Cafe Adoption,1,2024-03-09,2024-05-15,67,Cat Café
LDDC-A-3355,Gibberish,Cat,Domestic Shorthair,—,Brown,—,Adult Cat,Transfer In,"65703, FLRN-FC-24-0583, FLRN-A-6331",Meo Maison Cat Cafe Adoption,1,2024-03-08,2024-05-15,68,Cat Café
LDDC-A-3771,Shine,Dog,"Retriever, Labrador",Mix,Black,White,Puppy,Transfer In,"65940, FLRN-FD-24-0970, FLRN-A-6610",Foster Adopted,1,2024-05-03,2024-05-16,13,From Foster
LDDC-A-3684,Edison,Cat,Domestic Shorthair,—,Grey,Black,Kitten,Transfer In,HERT-MC-24-0927,Adoption from Foster,1,2024-04-27,2024-05-16,19,From Foster
LDDC-A-3686,Elodie,Cat,Domestic Shorthair,—,Grey,Black,Kitten,Transfer In,HERT-FC-24-0929,Adoption from Foster,1,2024-04-27,2024-05-16,19,From Foster
LDDC-A-3137,Caty Purry,Cat,Domestic Longhair,—,Black,White,Adult Cat,Transfer In,"PPCA-A-8854, FRKN-FC-24-0401",Meo Maison Cat Cafe Adoption,1,2024-02-17,2024-05-16,89,Cat Café
LDDC-A-3778,Blossom,Dog,"Terrier, Jack Russell",Mix,Black,Brown,Puppy,Transfer In,"66051, FLRN-FD-24-0960, FLRN-A-6679",Foster Adopted,1,2024-05-03,2024-05-17,14,From Foster
LDDC-A-2714,Oregano,Dog,Chihuahua,Mix,Black,Tan,Adult Dog,Adoption Return,"64429, FLRN-MD-23-2690, FLRN-A-5472",Foster Adopted,1,2024-05-05,2024-05-17,12,From Foster
LDDC-A-3603,Bandit,Cat,Domestic Shorthair,—,Black,—,Adult Cat,Transfer In,"PPCA-A-9415, FRKN-MC-24-0840",Meo Maison Cat Cafe Adoption,1,2024-04-13,2024-05-17,34,Cat Café
LDDC-A-2855,Presley,Dog,Retriever,Mix,Brown,White,Adult Dog,Transfer In,"64203, FLRN-A-5332, FLRN-MD-24-0131",Foster Adopted,1,2024-01-13,2024-05-18,126,From Foster
LDDC-A-3820,Penny,Cat,Domestic Shorthair,—,Orange,White,Kitten,Transfer In,"66484, FLRN-FC-24-1056, FLRN-A-6927",Off Transport Adoption (OTA),1,2024-05-18,2024-05-18,0,Off Transport
LDDC-A-3822,Tulip,Dog,Shepherd,"Retriever, Labrador",Black,Tan,Puppy,Transfer In,"66265, FLRN-FD-24-1042, FLRN-A-6825",Off Transport Adoption (OTA),1,2024-05-18,2024-05-18,0,Off Transport
LDDC-A-3821,Paris,Cat,Domestic Shorthair,—,Orange,White,Kitten,Transfer In,"66484, FLRN-FC-24-1053, FLRN-A-6931",Off Transport Adoption (OTA),1,2024-05-18,2024-05-18,0,Off Transport
LDDC-A-3780,Belladonna,Dog,"Terrier, Jack Russell",Mix,White,Black,Puppy,Transfer In,"66051, FLRN-FD-24-0959, FLRN-A-6678",Foster Adopted,1,2024-05-03,2024-05-18,15,From Foster
LDDC-A-3819,Lucille,Dog,"Hound, Basset",Terrier,Black,White,Adult Dog,Transfer In,"66263, FLRN-FD-24-1088, FLRN-A-6807",Off Transport Adoption (OTA),1,2024-05-18,2024-05-18,0,Off Transport
LDDC-A-3676,Snickers,Cat,Domestic Medium Hair,—,Brown,White,Adult Cat,Transfer In,"PPCA-A-9437, FRKN-MC-24-0895",PetSmart In-Store Cat Adoption,1,2024-04-20,2024-05-18,28,PetSmart
LDDC-A-3818,Eeyore,Dog,Shepherd,Mix,Black,White,Puppy,Transfer In,"66101, FLRN-MD-24-1045, FLRN-A-6767",Off Transport Adoption (OTA),1,2024-05-18,2024-05-18,0,Off Transport
LDDC-A-3587,Linus,Dog,Shepherd,—,Brown,Black,Puppy,Adoption Return,"PVAS-A-183732, PVAS-MD-24-0820",Other Adoption Event,2,2024-05-12,2024-05-18,6,Weekend Event
LDDC-A-3743,Coconut,Dog,Shepherd,Terrier,Brown,White,Puppy,Transfer In,"FLRN-FD-24-0977, FLRN-A-6633",Other Adoption Event,1,2024-05-03,2024-05-18,15,Weekend Event
LDDC-A-3424,Mocha,Dog,Hound,—,White,Brown,Adult Dog,Transfer In,"DPSC-A-24815, DPRD-FD-24-0653, FLRN-A-6573",Other Adoption Event,1,2024-03-23,2024-05-18,56,Weekend Event
LDDC-A-3881,Pasha,Cat,Bengal,—,Black,Brown,Adult Cat,Transfer In,PPCA-A-9545,Meo Maison Cat Cafe Adoption,1,2024-05-18,2024-05-18,0,Cat Café
LDDC-A-3857,Genny,Cat,Domestic Longhair,—,Cream,Orange,Kitten,Transfer In,"65917, FLRN-FC-24-1070, FLRN-A-6600",Off Transport Adoption (OTA),1,2024-05-18,2024-05-18,0,Off Transport
LDDC-A-3812,Boris,Dog,"Chihuahua, Long Coat",—,Brown,White,Adult Dog,Transfer In,"PVAS-A-186261, PVAS-MD-24-1035",PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3861,Meatball,Cat,Domestic Shorthair,Manx,Brown,—,Adult Cat,Transfer In,"66651, FLRN-MC-24-1102, FLRN-A-7063",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3797,Sheriff's Officer,Cat,Domestic Shorthair,—,Grey,Black,Kitten,Transfer In,PVAS-A-185754,PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3799,Umbrella,Cat,Domestic Shorthair,—,White,Grey,Kitten,Transfer In,PVAS-A-185945,PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3862,Paul,Cat,Domestic Shorthair,—,Orange,White,Kitten,Transfer In,"66484, FLRN-MC-24-1054, FLRN-A-6928",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3864,Phil,Cat,Domestic Shorthair,—,Orange,White,Kitten,Transfer In,"66484, FLRN-MC-24-1057, FLRN-A-6929",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3606,Cleo,Cat,Domestic Shorthair,—,Grey,—,Adult Cat,Transfer In,"FRCO-A-3299, PPCA-A-9261, FRKN-FC-24-0831",PetSmart Adoption Event,1,2024-04-13,2024-05-19,36,Weekend Event
LDDC-A-3859,Hampton,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,"66683, FLRN-MC-24-1062, FLRN-A-7076",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3894,Hoagie,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,"66683, FLRN-MC-24-1066, FLRN-A-7079",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3791,Yunicorn,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,PVAS-A-185941,PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3845,Tank,Dog,"Retriever, Labrador",Mix,Black,—,Adult Dog,Transfer In,"65962, FLRN-MD-24-1126, FLRN-A-6622",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3871,Eden,Cat,Domestic Longhair,—,Calico,—,Adult Cat,Transfer In,"J194-203U, MCAS-FC-24-1069, FLRN-A-6955",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3682,Nell,Cat,Domestic Shorthair,—,Orange,White,Adult Cat,Transfer In,HERT-FC-24-0906,PetSmart Adoption Event,1,2024-04-27,2024-05-19,22,Weekend Event
LDDC-A-3629,Brody,Dog,"Terrier, Yorkshire, Yorkie",Dachshund,Black,Tan,Adult Dog,Transfer In,"66358, FLRN-MD-24-0902, FLRN-A-6832",PetSmart Adoption Event,1,2024-04-20,2024-05-19,29,Weekend Event
LDDC-A-3846,Tinkerbell,Dog,Chihuahua,Terrier,Black,White,Puppy,Transfer In,"66503, FLRN-FD-24-1049, FLRN-A-6952",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3855,Glory,Cat,Domestic Shorthair,—,Grey,White,Kitten,Transfer In,"66684, FLRN-FC-24-1081, FLRN-A-7073",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3854,Gander,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"66684, FLRN-MC-24-1080, FLRN-A-7075",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3683,Cleopatra,Cat,Domestic Shorthair,—,Black,—,Adult Cat,Transfer In,HERT-FC-24-0905,PetSmart Adoption Event,1,2024-04-27,2024-05-19,22,Weekend Event
LDDC-A-3790,Lil Lucky Bat,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,PVAS-A-185982,PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3866,Saki,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"FLRN-MC-24-1051, FLRN-A-6994",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3865,Raspberry,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"66554, FLRN-MC-24-1103, FLRN-A-6992",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3418,Maynard,Dog,"Retriever, Labrador",Mix,Black,White,Adult Dog,Transfer In,"65667, FLRN-MD-24-0687, FLRN-A-6359",PetSmart Adoption Event,1,2024-03-23,2024-05-19,57,Weekend Event
LDDC-A-3723,Whisper,Cat,Domestic Shorthair,—,Grey,White,Adult Cat,Transfer In,"PPCA-A-9354, FRKN-FC-24-0911",PetSmart Adoption Event,1,2024-04-27,2024-05-19,22,Weekend Event
LDDC-A-3896,Umbro,Cat,Domestic Shorthair,—,White,Brown,Kitten,Transfer In,"66521, FLRN-MC-24-1068, FLRN-A-7003",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3688,Ethan,Cat,Domestic Shorthair,—,Grey,Black,Kitten,Transfer In,HERT-MC-24-0931,PetSmart Adoption Event,1,2024-04-27,2024-05-19,22,Weekend Event
LDDC-A-3844,Stokes,Dog,"Retriever, Labrador",Pointer,White,Black,Puppy,Transfer In,"66524, FLRN-MD-24-1078, FLRN-A-6986",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3888,Sweet Ho Ho,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,PPCA-A-9366,PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3886,Sweet Ding Dong,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,PPCA-A-9367,PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3815,Butter,Dog,Pug,—,Black,White,Adult Dog,Transfer In,PVAS-A-186486,PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3813,August,Dog,Pug,—,Black,White,Adult Dog,Transfer In,PVAS-A-186484,PetSmart Adoption Event,1,2024-05-11,2024-05-19,8,Weekend Event
LDDC-A-3839,Rocket,Dog,Shepherd,Mix,Brindle,—,Adult Dog,Transfer In,"63265, FLRN-MD-24-1077, FLRN-A-4646",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3425,Wazowski,Dog,Chihuahua,—,Tan,White,Adult Dog,Transfer In,"DPSC-A-16861, DPRD-MD-24-0654, FLRN-A-6575",Foster Adopted,1,2024-03-23,2024-05-19,57,From Foster
LDDC-A-3582,Frostine,Dog,Chihuahua,—,Tan,—,Adult Dog,Service In,"PVAS-A-184986, PVAS-FD-24-0815, LDDC-A-3582, LDDC-A-3582, FLRN-A-6895",PetSmart Adoption Event,1,2024-04-27,2024-05-19,22,Weekend Event
LDDC-A-3826,Brave,Dog,Sheep Dog,"Retriever, Labrador",Black,White,Adult Dog,Transfer In,"66275, FLRN-FD-24-1125, FLRN-A-6824, FLRN-A-6824",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3748,Happy,Dog,Sheep Dog,Mix,Black,Brown,Adult Dog,Transfer In,"66366, FLRN-FD-24-1002, FLRN-A-6885",PetSmart Adoption Event,1,2024-05-03,2024-05-19,16,Weekend Event
LDDC-A-3895,Hubert,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"66683, FLRN-MC-24-1067, FLRN-A-7080",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3824,Alvin,Dog,"Shepherd, German",Mix,Black,Tan,Adult Dog,Transfer In,"66217, FLRN-MD-24-1093, FLRN-A-6816",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3853,Echo,Cat,Domestic Shorthair,—,Brown,White,Kitten,Transfer In,"FLRN-MC-24-1079, FLRN-A-6973",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3856,Goose,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"66684, FLRN-FC-24-1082, FLRN-A-7074",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3835,May,Dog,"Retriever, Labrador",Mix,Brindle,White,Puppy,Transfer In,"66078, FLRN-FD-24-1091, FLRN-A-6683",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3863,Peanut,Cat,Domestic Shorthair,—,Orange,White,Kitten,Transfer In,"66484, FLRN-FC-24-1055, FLRN-A-6930",PetSmart Adoption Event,1,2024-05-18,2024-05-19,1,Weekend Event
LDDC-A-3765,Viola,Cat,Domestic Shorthair,—,Tortoise,—,Adult Cat,Transfer In,"66500, FLRN-FC-24-0999, FLRN-A-6935",PetSmart In-Store Cat Adoption,1,2024-05-03,2024-05-20,17,PetSmart
LDDC-A-3907,Honeybee,Dog,Chihuahua,Mix,Cream,—,Adult Dog,Transfer In,"A710281, SAPA-A-69901, SAPA-FD-24-1030",Off Transport Adoption (OTA),1,2024-05-21,2024-05-21,0,Off Transport
LDDC-A-3511,Alondra,Dog,Shepherd,—,Tan,Black,Adult Dog,Owner Surrender,PRCO-FD-23-1178,Foster Adopted,1,2024-04-07,2024-05-22,45,From Foster
LDDC-A-3872,Leo,Cat,Domestic Shorthair,—,Orange,—,Kitten,Transfer In,"J174, MCAS-MC-24-1089, FLRN-A-7118",PetSmart In-Store Cat Adoption,1,2024-05-18,2024-05-22,4,PetSmart
LDDC-A-3703,Nadine,Cat,Domestic Shorthair,—,Calico,—,Adult Cat,Transfer In,"66361, FLRN-A-6844, FLRN-FC-24-0951",Foster Adopted,1,2024-04-27,2024-05-23,26,From Foster
LDDC-A-3475,Marvel,Cat,Domestic Shorthair,—,Black,White,Adult Cat,Transfer In,"A138796, PPCA-A-9100, FRKN-FC-24-0708",Adoption from Foster,1,2024-03-30,2024-05-23,54,From Foster
LDDC-A-3843,Sparrow,Dog,Sheep Dog,Retriever,Yellow,—,Puppy,Transfer In,"66270, FLRN-MD-24-1048, FLRN-A-6818",Foster Adopted,1,2024-05-18,2024-05-24,6,From Foster
LDDC-A-3842,Skylar,Dog,Sheep Dog,Retriever,Yellow,—,Puppy,Transfer In,"66270, FLRN-FD-24-1047, FLRN-A-6819",Foster Adopted,1,2024-05-18,2024-05-24,6,From Foster
LDDC-A-3877,Lego,Cat,Domestic Shorthair,—,Black,—,Adult Cat,Transfer In,"240124, FAHS-MC-24-1107, FLRN-A-7098",PetSmart In-Store Cat Adoption,1,2024-05-18,2024-05-24,6,PetSmart
LDDC-A-3395,Red,Dog,"Shepherd, Australian",Mix,Black,White,Adult Dog,Adoption Return,"65575-1, FLRN-MD-24-0646, FLRN-A-6215",Foster Adopted,2,2024-05-24,2024-05-24,0,From Foster
LDDC-A-3691,Dolche,Dog,Beagle,Shepherd,Black,Brown,Puppy,Transfer In,"66082, FLRN-A-6686, FLRN-FD-24-0932",Foster Adopted,1,2024-04-27,2024-05-25,28,From Foster
LDDC-A-3336,Slate,Dog,Catahoula Leopard Dog,Mix,Black,Grey,Adult Dog,Adoption Return,"65394, FLRN-MD-24-0614, FLRN-A-6182",Petco Adoption Event,3,2024-04-07,2024-05-25,48,Weekend Event
LDDC-A-3661,Stella,Cat,Domestic Longhair,—,Brown,White,Adult Cat,Transfer In,"66143, FLRN-FC-24-0876, FLRN-A-6801",PetSmart Adoption Event,1,2024-04-20,2024-05-26,36,Weekend Event
LDDC-A-3612,Bubbles,Dog,Terrier,—,Black,White,Adult Dog,Transfer In,"PVAS-A-184940, PVAS-FD-24-0808",PetSmart Adoption Event,1,2024-04-13,2024-05-26,43,Weekend Event
LDDC-A-3869,Aspen,Cat,Domestic Shorthair,—,White,Brown,Adult Cat,Transfer In,"G446-451U, MCAS-MC-24-1084, FLRN-A-7124",PetSmart In-Store Cat Adoption,1,2024-05-18,2024-05-26,8,PetSmart
LDDC-A-3851,Carter,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"FLRN-MC-24-1060, FLRN-A-6837",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3928,Tabatha Twichet,Cat,Domestic Medium Hair,—,Cream,Lynx,Kitten,Transfer In,HERT-FC-24-1145,PetSmart Adoption Event,1,2024-05-25,2024-05-26,1,Weekend Event
LDDC-A-3764,Sassy,Cat,Domestic Longhair,—,Black,White,Adult Cat,Transfer In,"66502, FLRN-FC-24-0998, FLRN-A-6936",PetSmart Adoption Event,1,2024-05-03,2024-05-26,23,Weekend Event
LDDC-A-3716,Tiffany,Dog,Shepherd,Mix,Yellow,—,Puppy,Transfer In,"66005, FLRN-FD-24-0921, FLRN-A-6773",PetSmart Adoption Event,1,2024-04-27,2024-05-26,29,Weekend Event
LDDC-A-3930,Tiggywinkle,Cat,Domestic Medium Hair,—,Black,Orange,Kitten,Transfer In,HERT-FC-24-1147,PetSmart Adoption Event,1,2024-05-25,2024-05-26,1,Weekend Event
LDDC-A-3789,Supurrvisor,Cat,Domestic Shorthair,—,White,—,Kitten,Transfer In,PVAS-A-185755,PetSmart Adoption Event,1,2024-05-11,2024-05-26,15,Weekend Event
LDDC-A-3905,Tiny Chucklate,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,PPCA-A-9521,PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3890,Sweet Twinkie,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,PPCA-A-9369,PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3786,Luca,Dog,Maltese,Shih Tzu,Black,—,Adult Dog,Adoption Return,"PVAS-A-186257, PVAS-MD-24-1031",PetSmart Adoption Event,2,2024-05-19,2024-05-26,7,Weekend Event
LDDC-A-3848,Wesson,Dog,Shepherd,Mix,Chocolate,Red/Mahogany,Adult Dog,Transfer In,"65709, FLRN-MD-24-1050, FLRN-A-6350",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3841,Sienna,Dog,Sheep Dog,Retriever,Yellow,Brown,Puppy,Transfer In,"66270, FLRN-FD-24-1046, FLRN-A-6820",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3932,Blossom,Cat,Domestic Shorthair,—,Brown,—,Adult Cat,Transfer In,"FRCO-A-3597, PPCA-A-9585, FRKN-FC-24-1148",PetSmart Adoption Event,1,2024-05-25,2024-05-26,1,Weekend Event
LDDC-A-3540,Nyssa,Cat,Domestic Shorthair,—,Brown,—,Adult Cat,Transfer In,"65950, FLRN-FC-24-0768, FLRN-A-6604",PetSmart Adoption Event,1,2024-04-06,2024-05-26,50,Weekend Event
LDDC-A-3925,Sam,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,HERT-MC-24-1165,PetSmart Adoption Event,1,2024-05-25,2024-05-26,1,Weekend Event
LDDC-A-3658,Mable,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,"FLRN-FC-24-0863, FLRN-A-6812",PetSmart Adoption Event,1,2024-04-20,2024-05-26,36,Weekend Event
LDDC-A-3831,Ferry,Dog,Terrier,Shepherd,Brindle,White,Adult Dog,Transfer In,"66137, FLRN-FD-24-1073, FLRN-A-6827",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3766,Peaches,Cat,Domestic Shorthair,—,Orange,—,Adult Cat,Transfer In,"C24-0033, CHTR-FC-24-1000, FLRN-A-6530",PetSmart Adoption Event,1,2024-05-03,2024-05-26,23,Weekend Event
LDDC-A-3708,Lovey,Dog,"Retriever, Labrador",Mix,Brown,Black,Puppy,Transfer In,"65916, FLRN-FD-24-0919, FLRN-A-6557",PetSmart Adoption Event,1,2024-04-27,2024-05-26,29,Weekend Event
LDDC-A-3900,Natalie,Dog,Sheep Dog,"Cattle Dog, Australian (Blue Heeler)",Black,Brown,Puppy,Transfer In,"66490, FLRN-FD-24-1112, FLRN-A-7010",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3520,Dublin,Dog,"Retriever, Labrador",Mix,White,—,Adult Dog,Transfer In,"65651, FLRN-FD-24-0741, FLRN-A-6362",PetSmart Adoption Event,1,2024-04-06,2024-05-26,50,Weekend Event
LDDC-A-3858,Grier,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,"66684, FLRN-MC-24-1083, FLRN-A-7072",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3892,Hera,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"66683, FLRN-FC-24-1064, FLRN-A-7078",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3891,Harriett,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"66683, FLRN-FC-24-1063, FLRN-A-7077",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3837,Nadia,Dog,Sheep Dog,"Cattle Dog, Australian (Blue Heeler)",Black,White,Puppy,Transfer In,"66490, FLRN-FD-24-1111, FLRN-A-7012",PetSmart Adoption Event,1,2024-05-18,2024-05-26,8,Weekend Event
LDDC-A-3868,Simon,Cat,Domestic Shorthair,—,White,Orange,Adult Cat,Transfer In,"66465, FLRN-MC-24-1104, FLRN-A-6995",Adoption from Foster,1,2024-05-18,2024-05-27,9,From Foster
LDDC-A-3926,Sasha Fierce,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,HERT-FC-24-1166,Foster Adopted,1,2024-05-25,2024-05-28,3,From Foster
LDDC-A-3874,Skye,Cat,Domestic Shorthair,—,Grey,White,Adult Cat,Transfer In,"J195-204U, MCAS-FC-24-1092, FLRN-A-7121",PetSmart In-Store Cat Adoption,1,2024-05-18,2024-05-29,11,PetSmart
LDDC-A-3849,Calvin,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"FLRN-MC-24-1058, FLRN-A-6836",Adoption from Foster,1,2024-05-18,2024-05-29,11,From Foster
LDDC-A-3887,Sweet Donette,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,PPCA-A-9365,Adoption from Foster,1,2024-05-18,2024-05-29,11,From Foster
LDDC-A-3689,Mustard,Dog,"Retriever, Black Labrador",—,Black,—,Adult Dog,Owner Surrender,FLRN-MD-21-0491,Foster Adopted,1,2024-05-19,2024-05-30,11,From Foster
LDDC-A-3850,Carmen,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"FLRN-FC-24-1059, FLRN-A-6839",Adoption from Foster,1,2024-05-18,2024-05-30,12,From Foster
LDDC-A-1981,Poptart,Dog,Terrier,Mix,Brindle,Black,Adult Dog,Transfer In,"62835, FLRN-MD-23-1645, FLRN-A-4339",Foster Adopted,1,2023-10-07,2024-05-30,236,From Foster
LDDC-A-3941,Hettie,Dog,Shepherd,Mix,Black,Tan,Adult Dog,Transfer In,"66101, FLRN-FD-24-1159, FLRN-A-6752",Off Transport Adoption (OTA),1,2024-05-30,2024-05-30,0,Off Transport
LDDC-A-3662,Sunflower,Cat,Domestic Shorthair,—,Calico,—,Kitten,Transfer In,"FLRN-FC-24-0878, FLRN-A-6803",Adoption from Foster,1,2024-04-20,2024-05-30,40,From Foster
LDDC-A-3665,Sage,Cat,Domestic Shorthair,—,Calico,—,Kitten,Transfer In,"FLRN-FC-24-0877, FLRN-A-6802",Adoption from Foster,1,2024-04-20,2024-05-30,40,From Foster
LDDC-A-3663,Sasha,Cat,Domestic Shorthair,—,Calico,—,Kitten,Transfer In,FLRN-A-6804,Adoption from Foster,1,2024-04-20,2024-05-30,40,From Foster
LDDC-A-3784,Jan Wiley,Cat,Domestic Shorthair,—,Tortoise,White,Adult Cat,Transfer In,PPCA-A-9557,Meo Maison Cat Cafe Adoption,1,2024-05-11,2024-05-31,20,Cat Café
LDDC-A-3953,Vinny,Cat,Domestic Longhair,—,Black,White,Kitten,Transfer In,"FLRN-MC-24-1209, FLRN-A-7032",Off Transport Adoption (OTA),1,2024-05-31,2024-05-31,0,Off Transport
LDDC-A-3952,Vinca,Cat,Domestic Shorthair,—,Calico,—,Kitten,Transfer In,"FLRN-FC-24-1208, FLRN-A-7031",Off Transport Adoption (OTA),1,2024-05-31,2024-05-31,0,Off Transport
